TEMPERATURA;FLUXO-SAIDA;ALTURA
20.000780;10.000000;1.995738
20.001587;10.000000;1.995188
20.003355;10.000000;1.994600
20.478264;10.000000;1.952056
20.494144;10.000000;1.951994
20.509872;10.000000;1.951750
20.525646;10.000000;1.951331
21.133577;10.000000;1.908150
21.150396;10.000000;1.907044
21.167305;10.000000;1.905763
21.184496;10.000000;1.904325
21.843008;10.000000;1.843744
21.861725;10.000000;1.841700
21.880280;10.000000;1.840894
21.898863;10.000000;1.840013
22.612913;70.000000;1.774194
22.633036;70.000000;1.769450
22.653233;70.000000;1.764631
22.673712;70.000000;1.759750
23.478886;70.000000;1.587344
23.501081;70.000000;1.584031
23.523579;70.000000;1.580669
23.546139;70.000000;1.577125
24.252729;70.000000;1.493025
24.265608;70.000000;1.494000
24.278912;70.000000;1.494894
24.291691;70.000000;1.496037
24.768856;70.000000;1.498431
24.779507;70.000000;1.498538
24.790472;70.000000;1.498613
24.801168;70.000000;1.498837
25.192612;100.000000;1.495088
25.202908;100.000000;1.494063
25.212597;100.000000;1.493287
25.222902;100.000000;1.492412
25.560961;100.000000;1.491456
25.569073;100.000000;1.491694
25.577795;100.000000;1.491769
25.586542;100.000000;1.491838
25.883558;100.000000;1.496775
25.890711;100.000000;1.496931
25.897991;100.000000;1.497006
25.904636;100.000000;1.497244
26.156771;100.000000;1.499444
26.162889;100.000000;1.499494
26.169737;100.000000;1.499444
26.176233;100.000000;1.499550
26.393906;100.000000;1.499938
26.399591;100.000000;1.500006
26.404213;100.000000;1.500244
26.409052;100.000000;1.500300
26.598539;100.000000;1.499750
26.604010;100.000000;1.499819
26.608776;100.000000;1.500056
26.614491;100.000000;1.499925
26.780045;100.000000;1.500406
26.784136;100.000000;1.500162
26.788494;100.000000;1.499863
26.792358;100.000000;1.499787
26.942080;100.000000;1.500150
26.944914;100.000000;1.500312
26.947813;100.000000;1.500294
26.951199;100.000000;1.500100
27.075857;100.000000;1.499769
27.079313;100.000000;1.499525
27.082052;100.000000;1.499500
27.085079;100.000000;1.499481
27.194077;100.000000;1.499931
27.196619;100.000000;1.499644
27.198866;100.000000;1.499544
27.201885;100.000000;1.499362
27.295895;100.000000;1.500344
27.298195;100.000000;1.500300
27.300770;100.000000;1.500194
27.302704;100.000000;1.500244
27.382275;100.000000;1.500031
27.384607;100.000000;1.500006
27.386290;100.000000;1.500144
27.388271;100.000000;1.500100
27.466862;100.000000;1.499563
27.468950;100.000000;1.499406
27.470055;100.000000;1.499488
27.471994;100.000000;1.499481
27.536562;100.000000;1.500219
27.538380;100.000000;1.499975
27.539909;100.000000;1.499825
27.542089;100.000000;1.499669
27.602940;100.000000;1.500394
27.604053;100.000000;1.500381
27.605227;100.000000;1.500300
27.605509;100.000000;1.500363
27.654610;100.000000;1.500200
27.656956;100.000000;1.499894
27.659027;100.000000;1.499756
27.660995;100.000000;1.499706
27.706949;100.000000;1.500294
27.707609;100.000000;1.500363
27.707586;100.000000;1.500587
27.707191;100.000000;1.500731
